RawGPS
Time (UTC),Latitude,Longitude
2016-02-02 09:22:15+00:00,28.897441,117.643633
2016-02-02 09:22:16+00:00,28.897534,117.643709
2016-02-02 09:22:17+00:00,28.897713,117.643845
2016-02-02 09:22:18+00:00,28.897849,117.643934
2016-02-02 09:22:19+00:00,28.898031,117.644001
2016-02-02 09:22:20+00:00,28.898257,117.64389
2016-02-02 09:22:21+00:00,28.898444,117.643804
2016-02-02 09:22:22+00:00,28.898604,117.643782
2016-02-02 09:22:23+00:00,28.898783,117.643734
2016-02-02 09:22:24+00:00,28.898948,117.643632
2016-02-02 09:22:25+00:00,28.899106,117.643552
2016-02-02 09:22:26+00:00,28.899276,117.643445
2016-02-02 09:22:27+00:00,28.899424,117.643338
2016-02-02 09:22:28+00:00,28.899585,117.643198
2016-02-02 09:22:29+00:00,28.899735,117.643069
2016-02-02 09:22:30+00:00,28.899888,117.642925
2016-02-02 09:22:31+00:00,28.900042,117.642782
2016-02-02 09:22:32+00:00,28.900192,117.642635
2016-02-02 09:22:33+00:00,28.900343,117.642489
2016-02-02 09:22:34+00:00,28.900494,117.64233
2016-02-02 09:22:35+00:00,28.90063,117.642174
2016-02-02 09:22:36+00:00,28.900763,117.642029
2016-02-02 09:22:37+00:00,28.900898,117.641862
2016-02-02 09:22:38+00:00,28.901029,117.64171
2016-02-02 09:22:39+00:00,28.901165,117.641598
2016-02-02 09:22:40+00:00,28.90129,117.641436
2016-02-02 09:22:41+00:00,28.901412,117.641328
2016-02-02 09:22:42+00:00,28.901521,117.641201
2016-02-02 09:22:43+00:00,28.90162,117.641094
2016-02-02 09:22:44+00:00,28.901701,117.641015
2016-02-02 09:22:45+00:00,28.901767,117.640989
2016-02-02 09:22:46+00:00,28.901825,117.640914
2016-02-02 09:22:47+00:00,28.901878,117.640846
2016-02-02 09:22:48+00:00,28.901906,117.640813
2016-02-02 09:22:49+00:00,28.901918,117.640815
2016-02-02 09:22:50+00:00,28.90192,117.640819
2016-02-02 09:22:51+00:00,28.901929,117.640801
2016-02-02 09:22:52+00:00,28.901938,117.640786
2016-02-02 09:22:53+00:00,28.901943,117.640776
2016-02-02 09:22:54+00:00,28.901946,117.640763
2016-02-02 09:22:55+00:00,28.901948,117.640751
2016-02-02 09:22:56+00:00,28.901953,117.640741
2016-02-02 09:22:57+00:00,28.90195,117.64074
2016-02-02 09:22:58+00:00,28.90195,117.64074
2016-02-02 09:22:59+00:00,28.90195,117.64074
2016-02-02 09:23:00+00:00,28.90195,117.64074
2016-02-02 09:23:01+00:00,28.901953,117.640725
2016-02-02 09:23:02+00:00,28.901953,117.640725
2016-02-02 09:23:03+00:00,28.901953,117.640725
2016-02-02 09:23:04+00:00,28.901953,117.640725
2016-02-02 09:23:05+00:00,28.901953,117.640725
2016-02-02 09:23:06+00:00,28.901953,117.640725
2016-02-02 09:23:07+00:00,28.901953,117.640725
2016-02-02 09:23:08+00:00,28.901953,117.640725
2016-02-02 09:23:09+00:00,28.901953,117.640725
2016-02-02 09:23:10+00:00,28.90196,117.640711
2016-02-02 09:23:11+00:00,28.901968,117.6407
2016-02-02 09:23:12+00:00,28.901976,117.64069
2016-02-02 09:23:13+00:00,28.901985,117.640678
2016-02-02 09:23:14+00:00,28.901991,117.64067
2016-02-02 09:23:15+00:00,28.901997,117.640664
2016-02-02 09:23:16+00:00,28.902001,117.640659
2016-02-02 09:23:17+00:00,28.902001,117.640659
2016-02-02 09:23:18+00:00,28.902001,117.640659
2016-02-02 09:23:19+00:00,28.902001,117.640659
2016-02-02 09:23:20+00:00,28.902001,117.640659
2016-02-02 09:23:21+00:00,28.902001,117.640659
2016-02-02 09:23:22+00:00,28.902001,117.640659
2016-02-02 09:23:23+00:00,28.902001,117.640659
2016-02-02 09:23:24+00:00,28.902001,117.640659
2016-02-02 09:23:25+00:00,28.902001,117.640659
2016-02-02 09:23:26+00:00,28.902001,117.640659
2016-02-02 09:23:27+00:00,28.902001,117.640659
2016-02-02 09:23:28+00:00,28.902001,117.640659
2016-02-02 09:23:29+00:00,28.902001,117.640659
2016-02-02 09:23:30+00:00,28.902001,117.640659
2016-02-02 09:23:31+00:00,28.902001,117.640659
2016-02-02 09:23:32+00:00,28.902001,117.640659
2016-02-02 09:23:33+00:00,28.902001,117.640659
2016-02-02 09:23:34+00:00,28.902001,117.640659
2016-02-02 09:23:35+00:00,28.902001,117.640659
2016-02-02 09:23:36+00:00,28.902001,117.640659
2016-02-02 09:23:37+00:00,28.902001,117.640659
2016-02-02 09:23:38+00:00,28.902001,117.640659
2016-02-02 09:23:39+00:00,28.902001,117.640659
2016-02-02 09:23:40+00:00,28.902001,117.640659
2016-02-02 09:23:41+00:00,28.902001,117.640659
2016-02-02 09:23:42+00:00,28.902001,117.640659
2016-02-02 09:23:43+00:00,28.902001,117.640659
2016-02-02 09:23:44+00:00,28.902001,117.640659
2016-02-02 09:23:45+00:00,28.902001,117.640659
2016-02-02 09:23:46+00:00,28.902001,117.640659
2016-02-02 09:23:47+00:00,28.902001,117.640659
2016-02-02 09:23:48+00:00,28.902001,117.640659
2016-02-02 09:23:49+00:00,28.902001,117.640659
2016-02-02 09:23:50+00:00,28.902001,117.640659
2016-02-02 09:23:52+00:00,28.902001,117.640659
2016-02-02 09:23:53+00:00,28.902001,117.640659
2016-02-02 09:23:54+00:00,28.902001,117.640659
2016-02-02 09:23:55+00:00,28.902001,117.640659
2016-02-02 09:23:56+00:00,28.902001,117.640659
2016-02-02 09:23:57+00:00,28.902001,117.640659
2016-02-02 09:23:58+00:00,28.902001,117.640659
2016-02-02 09:23:59+00:00,28.902001,117.640659
2016-02-02 09:24:00+00:00,28.902001,117.640659
2016-02-02 09:24:01+00:00,28.902001,117.640659
2016-02-02 09:24:02+00:00,28.902001,117.640659
RawGPS
Time (UTC),Latitude,Longitude
2016-02-02 09:18:54+00:00,28.869228,117.592098
2016-02-02 09:18:55+00:00,28.869431,117.592354
2016-02-02 09:18:56+00:00,28.869608,117.592594
2016-02-02 09:18:57+00:00,28.869784,117.592844
2016-02-02 09:18:58+00:00,28.869956,117.593105
2016-02-02 09:18:59+00:00,28.870138,117.593376
2016-02-02 09:19:00+00:00,28.870313,117.593647
2016-02-02 09:19:01+00:00,28.870501,117.593929
2016-02-02 09:19:02+00:00,28.870672,117.594215
2016-02-02 09:19:03+00:00,28.870837,117.594492
2016-02-02 09:19:04+00:00,28.871007,117.59477
2016-02-02 09:19:05+00:00,28.871178,117.595065
2016-02-02 09:19:06+00:00,28.871331,117.595349
2016-02-02 09:19:07+00:00,28.871502,117.59565
2016-02-02 09:19:08+00:00,28.871662,117.595946
2016-02-02 09:19:09+00:00,28.87181,117.596252
2016-02-02 09:19:10+00:00,28.871955,117.596559
2016-02-02 09:19:11+00:00,28.872098,117.596864
2016-02-02 09:19:12+00:00,28.872225,117.597173
2016-02-02 09:19:13+00:00,28.872351,117.597471
2016-02-02 09:19:14+00:00,28.872479,117.597765
2016-02-02 09:19:15+00:00,28.87261,117.598065
2016-02-02 09:19:16+00:00,28.872736,117.598361
2016-02-02 09:19:17+00:00,28.872865,117.598651
2016-02-02 09:19:18+00:00,28.872978,117.598943
2016-02-02 09:19:19+00:00,28.873099,117.599226
2016-02-02 09:19:20+00:00,28.873215,117.599524
2016-02-02 09:19:21+00:00,28.873335,117.599812
2016-02-02 09:19:22+00:00,28.873456,117.600102
2016-02-02 09:19:23+00:00,28.873581,117.600383
2016-02-02 09:19:24+00:00,28.8737,117.600664
2016-02-02 09:19:25+00:00,28.873809,117.600934
2016-02-02 09:19:26+00:00,28.873921,117.601219
2016-02-02 09:19:27+00:00,28.874039,117.601509
2016-02-02 09:19:28+00:00,28.874149,117.601803
2016-02-02 09:19:29+00:00,28.874262,117.602092
2016-02-02 09:19:30+00:00,28.87439,117.602386
2016-02-02 09:19:31+00:00,28.874512,117.602681
2016-02-02 09:19:32+00:00,28.874638,117.60298
2016-02-02 09:19:33+00:00,28.874758,117.603256
2016-02-02 09:19:34+00:00,28.874874,117.603536
2016-02-02 09:19:35+00:00,28.874982,117.603818
2016-02-02 09:19:36+00:00,28.875096,117.604081
2016-02-02 09:19:37+00:00,28.875208,117.604361
2016-02-02 09:19:38+00:00,28.875319,117.604643
2016-02-02 09:19:39+00:00,28.875443,117.604924
2016-02-02 09:19:40+00:00,28.875563,117.605203
2016-02-02 09:19:41+00:00,28.875671,117.605496
2016-02-02 09:19:42+00:00,28.875794,117.605797
2016-02-02 09:19:43+00:00,28.875913,117.606097
2016-02-02 09:19:44+00:00,28.876037,117.606397
2016-02-02 09:19:45+00:00,28.876161,117.606696
2016-02-02 09:19:46+00:00,28.876289,117.607
2016-02-02 09:19:47+00:00,28.87642,117.607308
2016-02-02 09:19:48+00:00,28.876538,117.60761
2016-02-02 09:19:49+00:00,28.876664,117.607919
2016-02-02 09:19:50+00:00,28.876804,117.608223
2016-02-02 09:19:51+00:00,28.876929,117.60854
2016-02-02 09:19:52+00:00,28.877055,117.608835
2016-02-02 09:19:53+00:00,28.877189,117.609126
2016-02-02 09:19:54+00:00,28.877318,117.609423
2016-02-02 09:19:55+00:00,28.877452,117.609719
2016-02-02 09:19:56+00:00,28.8776,117.610023
2016-02-02 09:19:57+00:00,28.877747,117.610323
2016-02-02 09:19:58+00:00,28.877907,117.61061
2016-02-02 09:19:59+00:00,28.878057,117.610921
2016-02-02 09:20:00+00:00,28.878202,117.611215
2016-02-02 09:20:01+00:00,28.878355,117.611493
2016-02-02 09:20:02+00:00,28.878514,117.611767
2016-02-02 09:20:03+00:00,28.878672,117.612054
2016-02-02 09:20:04+00:00,28.878838,117.612341
2016-02-02 09:20:05+00:00,28.879012,117.612635
2016-02-02 09:20:06+00:00,28.879187,117.612933
2016-02-02 09:20:07+00:00,28.879375,117.613222
2016-02-02 09:20:08+00:00,28.879569,117.613505
2016-02-02 09:20:09+00:00,28.879772,117.613797
2016-02-02 09:20:10+00:00,28.879955,117.614077
2016-02-02 09:20:11+00:00,28.880161,117.61435
2016-02-02 09:20:12+00:00,28.880362,117.614624
2016-02-02 09:20:13+00:00,28.880549,117.614889
2016-02-02 09:20:14+00:00,28.880741,117.615156
2016-02-02 09:20:15+00:00,28.880938,117.615412
2016-02-02 09:20:16+00:00,28.881127,117.615655
2016-02-02 09:20:17+00:00,28.881314,117.615863
2016-02-02 09:20:18+00:00,28.881521,117.616106
2016-02-02 09:20:19+00:00,28.88172,117.616347
2016-02-02 09:20:20+00:00,28.881926,117.616589
2016-02-02 09:20:21+00:00,28.882142,117.616836
2016-02-02 09:20:22+00:00,28.882341,117.617067
2016-02-02 09:20:23+00:00,28.88254,117.617289
2016-02-02 09:20:24+00:00,28.882757,117.617525
2016-02-02 09:20:25+00:00,28.882953,117.617745
2016-02-02 09:20:26+00:00,28.883167,117.617976
2016-02-02 09:20:27+00:00,28.883381,117.618198
2016-02-02 09:20:28+00:00,28.883576,117.618435
2016-02-02 09:20:29+00:00,28.883794,117.618681
2016-02-02 09:20:30+00:00,28.883992,117.618948
2016-02-02 09:20:31+00:00,28.884193,117.619177
2016-02-02 09:20:32+00:00,28.884423,117.619442
2016-02-02 09:20:33+00:00,28.884623,117.619668
2016-02-02 09:20:34+00:00,28.884871,117.61988
2016-02-02 09:20:35+00:00,28.885059,117.620116
2016-02-02 09:20:36+00:00,28.885253,117.620359
2016-02-02 09:20:37+00:00,28.885479,117.620603
2016-02-02 09:20:38+00:00,28.885682,117.620833
2016-02-02 09:20:39+00:00,28.885896,117.621073
2016-02-02 09:20:40+00:00,28.886116,117.621311
2016-02-02 09:20:41+00:00,28.886335,117.621552
2016-02-02 09:20:42+00:00,28.886542,117.621786
2016-02-02 09:20:43+00:00,28.88676,117.62204
2016-02-02 09:20:44+00:00,28.886971,117.622289
2016-02-02 09:20:45+00:00,28.887171,117.622525
2016-02-02 09:20:46+00:00,28.887382,117.622766
2016-02-02 09:20:47+00:00,28.887581,117.623001
2016-02-02 09:20:48+00:00,28.887792,117.623226
2016-02-02 09:20:49+00:00,28.887995,117.623474
2016-02-02 09:20:50+00:00,28.888204,117.623696
2016-02-02 09:20:51+00:00,28.888419,117.623939
2016-02-02 09:20:52+00:00,28.888624,117.624174
2016-02-02 09:20:53+00:00,28.888848,117.624411
2016-02-02 09:20:54+00:00,28.889058,117.624649
2016-02-02 09:20:55+00:00,28.889264,117.624875
2016-02-02 09:20:56+00:00,28.88947,117.625112
2016-02-02 09:20:57+00:00,28.889664,117.625347
2016-02-02 09:20:58+00:00,28.889864,117.625577
2016-02-02 09:20:59+00:00,28.890057,117.625816
2016-02-02 09:21:00+00:00,28.890258,117.626061
2016-02-02 09:21:01+00:00,28.890456,117.6263
2016-02-02 09:21:02+00:00,28.890657,117.626515
2016-02-02 09:21:03+00:00,28.890863,117.626749
2016-02-02 09:21:04+00:00,28.891055,117.626977
2016-02-02 09:21:05+00:00,28.891247,117.627212
2016-02-02 09:21:06+00:00,28.891453,117.627449
2016-02-02 09:21:07+00:00,28.891655,117.627685
2016-02-02 09:21:08+00:00,28.89185,117.627918
2016-02-02 09:21:09+00:00,28.892037,117.628155
2016-02-02 09:21:10+00:00,28.89222,117.628393
2016-02-02 09:21:11+00:00,28.892389,117.628637
2016-02-02 09:21:12+00:00,28.892563,117.628878
2016-02-02 09:21:13+00:00,28.89273,117.62913
2016-02-02 09:21:14+00:00,28.892905,117.629374
2016-02-02 09:21:15+00:00,28.893066,117.629629
2016-02-02 09:21:16+00:00,28.89323,117.629865
2016-02-02 09:21:17+00:00,28.893381,117.630124
2016-02-02 09:21:18+00:00,28.893531,117.630364
2016-02-02 09:21:19+00:00,28.893673,117.630617
2016-02-02 09:21:20+00:00,28.893834,117.630869
2016-02-02 09:21:21+00:00,28.893991,117.631134
2016-02-02 09:21:22+00:00,28.894144,117.631397
2016-02-02 09:21:23+00:00,28.89429,117.631664
2016-02-02 09:21:24+00:00,28.894434,117.631922
2016-02-02 09:21:25+00:00,28.894566,117.632178
2016-02-02 09:21:26+00:00,28.894687,117.632441
2016-02-02 09:21:27+00:00,28.894814,117.632697
2016-02-02 09:21:28+00:00,28.894941,117.632969
2016-02-02 09:21:29+00:00,28.895058,117.633226
2016-02-02 09:21:30+00:00,28.895177,117.633483
2016-02-02 09:21:31+00:00,28.895291,117.633734
2016-02-02 09:21:32+00:00,28.895396,117.633997
2016-02-02 09:21:33+00:00,28.895508,117.634263
2016-02-02 09:21:34+00:00,28.895624,117.63451
2016-02-02 09:21:35+00:00,28.895723,117.634773
2016-02-02 09:21:36+00:00,28.895831,117.635033
2016-02-02 09:21:37+00:00,28.895931,117.635298
2016-02-02 09:21:38+00:00,28.896027,117.635551
2016-02-02 09:21:39+00:00,28.896117,117.635797
2016-02-02 09:21:40+00:00,28.896215,117.636057
2016-02-02 09:21:41+00:00,28.896306,117.636315
2016-02-02 09:21:42+00:00,28.896393,117.636575
2016-02-02 09:21:43+00:00,28.896483,117.636828
2016-02-02 09:21:44+00:00,28.896552,117.637074
2016-02-02 09:21:45+00:00,28.896629,117.637318
2016-02-02 09:21:46+00:00,28.896701,117.637551
2016-02-02 09:21:47+00:00,28.89678,117.637788
2016-02-02 09:21:48+00:00,28.896861,117.638026
2016-02-02 09:21:49+00:00,28.896938,117.638259
2016-02-02 09:21:50+00:00,28.897014,117.638483
2016-02-02 09:21:51+00:00,28.897086,117.638703
2016-02-02 09:21:52+00:00,28.897152,117.638931
2016-02-02 09:21:53+00:00,28.897223,117.639173
2016-02-02 09:21:54+00:00,28.897297,117.639399
2016-02-02 09:21:55+00:00,28.897364,117.639616
2016-02-02 09:21:56+00:00,28.897432,117.639827
2016-02-02 09:21:57+00:00,28.897501,117.640028
2016-02-02 09:21:58+00:00,28.897554,117.640244
2016-02-02 09:21:59+00:00,28.897596,117.640455
2016-02-02 09:22:00+00:00,28.897628,117.640661
2016-02-02 09:22:01+00:00,28.897649,117.64087
2016-02-02 09:22:02+00:00,28.897653,117.641084
2016-02-02 09:22:03+00:00,28.897655,117.641302
2016-02-02 09:22:04+00:00,28.897633,117.641534
2016-02-02 09:22:05+00:00,28.897597,117.641739
2016-02-02 09:22:06+00:00,28.897554,117.641962
2016-02-02 09:22:07+00:00,28.8975,117.642196
2016-02-02 09:22:08+00:00,28.897407,117.642407
2016-02-02 09:22:09+00:00,28.897393,117.642625
2016-02-02 09:22:10+00:00,28.897361,117.642819
2016-02-02 09:22:11+00:00,28.897352,117.643007
2016-02-02 09:22:12+00:00,28.897366,117.643194
2016-02-02 09:22:13+00:00,28.897336,117.643373
2016-02-02 09:22:14+00:00,28.897344,117.643548
2016-02-02 09:22:15+00:00,28.897441,117.643633
2016-02-02 09:22:16+00:00,28.897534,117.643709
2016-02-02 09:22:17+00:00,28.897713,117.643845
2016-02-02 09:22:18+00:00,28.897849,117.643934
2016-02-02 09:22:19+00:00,28.898031,117.644001
2016-02-02 09:22:20+00:00,28.898257,117.64389
2016-02-02 09:22:21+00:00,28.898444,117.643804
2016-02-02 09:22:22+00:00,28.898604,117.643782
2016-02-02 09:22:23+00:00,28.898783,117.643734
2016-02-02 09:22:24+00:00,28.898948,117.643632
2016-02-02 09:22:25+00:00,28.899106,117.643552
2016-02-02 09:22:26+00:00,28.899276,117.643445
2016-02-02 09:22:27+00:00,28.899424,117.643338
2016-02-02 09:22:28+00:00,28.899585,117.643198
2016-02-02 09:22:29+00:00,28.899735,117.643069
2016-02-02 09:22:30+00:00,28.899888,117.642925
2016-02-02 09:22:31+00:00,28.900042,117.642782
2016-02-02 09:22:32+00:00,28.900192,117.642635
2016-02-02 09:22:33+00:00,28.900343,117.642489
2016-02-02 09:22:34+00:00,28.900494,117.64233
2016-02-02 09:22:35+00:00,28.90063,117.642174
2016-02-02 09:22:36+00:00,28.900763,117.642029
2016-02-02 09:22:37+00:00,28.900898,117.641862
2016-02-02 09:22:38+00:00,28.901029,117.64171
2016-02-02 09:22:39+00:00,28.901165,117.641598
2016-02-02 09:22:40+00:00,28.90129,117.641436
2016-02-02 09:22:41+00:00,28.901412,117.641328
2016-02-02 09:22:42+00:00,28.901521,117.641201
2016-02-02 09:22:43+00:00,28.90162,117.641094
2016-02-02 09:22:44+00:00,28.901701,117.641015
2016-02-02 09:22:45+00:00,28.901767,117.640989
2016-02-02 09:22:46+00:00,28.901825,117.640914
2016-02-02 09:22:47+00:00,28.901878,117.640846
2016-02-02 09:22:48+00:00,28.901906,117.640813
2016-02-02 09:22:49+00:00,28.901918,117.640815
2016-02-02 09:22:50+00:00,28.90192,117.640819
2016-02-02 09:22:51+00:00,28.901929,117.640801
2016-02-02 09:22:52+00:00,28.901938,117.640786
2016-02-02 09:22:53+00:00,28.901943,117.640776
2016-02-02 09:22:54+00:00,28.901946,117.640763
2016-02-02 09:22:55+00:00,28.901948,117.640751
2016-02-02 09:22:56+00:00,28.901953,117.640741
2016-02-02 09:22:57+00:00,28.90195,117.64074
2016-02-02 09:22:58+00:00,28.90195,117.64074
2016-02-02 09:22:59+00:00,28.90195,117.64074
2016-02-02 09:23:00+00:00,28.90195,117.64074
2016-02-02 09:23:01+00:00,28.901953,117.640725
2016-02-02 09:23:02+00:00,28.901953,117.640725
2016-02-02 09:23:03+00:00,28.901953,117.640725
2016-02-02 09:23:04+00:00,28.901953,117.640725
2016-02-02 09:23:05+00:00,28.901953,117.640725
2016-02-02 09:23:06+00:00,28.901953,117.640725
2016-02-02 09:23:07+00:00,28.901953,117.640725
2016-02-02 09:23:08+00:00,28.901953,117.640725
2016-02-02 09:23:09+00:00,28.901953,117.640725
2016-02-02 09:23:10+00:00,28.90196,117.640711
2016-02-02 09:23:11+00:00,28.901968,117.6407
2016-02-02 09:23:12+00:00,28.901976,117.64069
2016-02-02 09:23:13+00:00,28.901985,117.640678
2016-02-02 09:23:14+00:00,28.901991,117.64067
2016-02-02 09:23:15+00:00,28.901997,117.640664
2016-02-02 09:23:16+00:00,28.902001,117.640659
2016-02-02 09:23:17+00:00,28.902001,117.640659
2016-02-02 09:23:18+00:00,28.902001,117.640659
2016-02-02 09:23:19+00:00,28.902001,117.640659
2016-02-02 09:23:20+00:00,28.902001,117.640659
2016-02-02 09:23:21+00:00,28.902001,117.640659
2016-02-02 09:23:22+00:00,28.902001,117.640659
2016-02-02 09:23:23+00:00,28.902001,117.640659
2016-02-02 09:23:24+00:00,28.902001,117.640659
2016-02-02 09:23:25+00:00,28.902001,117.640659
2016-02-02 09:23:26+00:00,28.902001,117.640659
2016-02-02 09:23:27+00:00,28.902001,117.640659
2016-02-02 09:23:28+00:00,28.902001,117.640659
2016-02-02 09:23:29+00:00,28.902001,117.640659
2016-02-02 09:23:30+00:00,28.902001,117.640659
2016-02-02 09:23:31+00:00,28.902001,117.640659
2016-02-02 09:23:32+00:00,28.902001,117.640659
2016-02-02 09:23:33+00:00,28.902001,117.640659
2016-02-02 09:23:34+00:00,28.902001,117.640659
2016-02-02 09:23:35+00:00,28.902001,117.640659
2016-02-02 09:23:36+00:00,28.902001,117.640659
2016-02-02 09:23:37+00:00,28.902001,117.640659
2016-02-02 09:23:38+00:00,28.902001,117.640659
2016-02-02 09:23:39+00:00,28.902001,117.640659
2016-02-02 09:23:40+00:00,28.902001,117.640659
2016-02-02 09:23:41+00:00,28.902001,117.640659
2016-02-02 09:23:42+00:00,28.902001,117.640659
2016-02-02 09:23:43+00:00,28.902001,117.640659
2016-02-02 09:23:44+00:00,28.902001,117.640659
2016-02-02 09:23:45+00:00,28.902001,117.640659
2016-02-02 09:23:46+00:00,28.902001,117.640659
2016-02-02 09:23:47+00:00,28.902001,117.640659
2016-02-02 09:23:48+00:00,28.902001,117.640659
2016-02-02 09:23:49+00:00,28.902001,117.640659
2016-02-02 09:23:50+00:00,28.902001,117.640659
2016-02-02 09:23:52+00:00,28.902001,117.640659
2016-02-02 09:23:53+00:00,28.902001,117.640659
2016-02-02 09:23:54+00:00,28.902001,117.640659
2016-02-02 09:23:55+00:00,28.902001,117.640659
2016-02-02 09:23:56+00:00,28.902001,117.640659
2016-02-02 09:23:57+00:00,28.902001,117.640659
2016-02-02 09:23:58+00:00,28.902001,117.640659
2016-02-02 09:23:59+00:00,28.902001,117.640659
2016-02-02 09:24:00+00:00,28.902001,117.640659
2016-02-02 09:24:01+00:00,28.902001,117.640659
2016-02-02 09:24:02+00:00,28.902001,117.640659
